"Ht_temporal_entropy" "Hf_spectral_entropy" "number_of_freq_peaks" "number_of_freq_peaks_cqv" "peak_freq" "peak_freq_cqv" "ACTfract" "spectral_bandwidth_90" "ugof_isochronous" "npvi_ioi" "npvi_ioi_cqv" "num_syllables_per_unit_time" "duration_song" "syllable_duration_median" "ioi_duration_median" "syllable_duration_median_cqv"
"Sylvia_melanocephala" 0.7913 0.5263 25.75 15.942 4407.2236 1.57 0.2641 1205.8594 0.4602 16.0784 18.7975 12.25 1.5 0.039 0.09 3.4722
"Sylvia_undata" 0.8661 0.5984 22 4.5977 4015.6426 0.7924 0.2585 1614.9902 0.5337 14.4192 5.9497 9.5417 2.25 0.0463 0.098 4.106
"Parus_caeruleus" 0.8266 0.4834 19.8333 21.25 5017.8366 4.8531 0.2455 1457.0801 0.4841 10.9574 29.4255 8.3056 2.3333 0.0553 0.1246 18.3383
"Delichon_urbica" 0.808 0.6602 17.5 1.4286 4030.6426 10.3928 0.2953 2196.3867 0.534 17.4584 7.8567 7.8 9 0.0501 0.1212 0.7215
"Dendrocopos_major" 0.6773 0.5043 25.5263 22.2222 2024.367 52.1556 0.2287 1434.7913 0.3349 8.884 100 6.9474 0.6316 0.0398 0.0787 22.0276
"Dendrocopos_minor" 0.8159 0.464 18.625 22.7586 1715.7065 11.6213 0.248 1534.2407 0.4753 18.4748 19.6867 13.3542 1.625 0.0382 0.0817 15.486
"Dryocopus_martius" 0.8058 0.4028 17.8333 7.483 1646.9902 10.9655 0.2321 854.1504 0.4836 12.1667 73.8482 10.2917 3.5 0.048 0.1403 22.9557
"Miliaria_calandra" 0.8415 0.6504 20.5 8.2353 5221.4688 1.851 0.3454 2562.4512 0.5205 19.8289 15.7337 9.125 2.75 0.0434 0.1081 9.4681
"Emberiza_cia" 0.7399 0.6334 30 4.2017 4847.7266 5.2347 0.3028 2598.3398 0.4422 21.7965 9.9372 7.6111 2.6667 0.0493 0.134 2.188
"Emberiza_cirlus" 0.8763 0.5033 23.2 6.383 4164.7617 1.1633 0.2448 1162.793 0.5166 5.1065 9.3272 9.2 2 0.0496 0.1049 1.4913
"Emberiza_citrinella" 0.8532 0.5932 22.5 7.6923 4747.7715 8.4164 0.2429 1991.8213 0.5102 15.3274 11.2733 9.625 2.75 0.0501 0.0974 2.1683
"Emberiza_hortulana" 0.836 0.4579 22.2727 8.6957 3694.8082 9.9542 0.2872 1284.1619 0.4981 23.7646 8.1233 6.6364 1.7273 0.0573 0.1205 9.7201
