"","path","file","name","Nom scientifique / Autorité","latin.name"
"122","1 plongeon catmarin - tadorne casarca/20 cormoran huppe´.mp3","20 cormoran huppe´.mp3","cormoran huppe´","Phalacrocorax aristotelis (Linnaeus, 1761)","Phalacrocorax aristotelis"
"123","1 plongeon catmarin - tadorne casarca/21 cormoran pygme´e.mp3","21 cormoran pygme´e.mp3","cormoran pygme´e","Microcarbo pygmaeus (Pallas, 1773)","Microcarbo pygmaeus"
"124","9 me´sange charbonnie`re - e´tourneau roselin/38 corneille noiremantele´e.mp3","38 corneille noiremantele´e.mp3","corneille noiremantele´e",NA,NA
"125","5 sterne naine - martinet des maisons/29 coucou geai.mp3","29 coucou geai.mp3","coucou geai","Clamator glandarius (Linnaeus, 1758)","Clamator glandarius"
"126","5 sterne naine - martinet des maisons/28 coucou gris.mp3","28 coucou gris.mp3","coucou gris","Cuculus canorus Linnaeus, 1758","Cuculus canorus"
"127","4 petit gravelot - goe´land a` ailes blanches/28 courlis cendre´.mp3","28 courlis cendre´.mp3","courlis cendre´","Numenius arquata (Linnaeus, 1758)","Numenius arquata"
"128","4 petit gravelot - goe´land a` ailes blanches/29 courlis corlieu.mp3","29 courlis corlieu.mp3","courlis corlieu","Numenius phaeopus (Linnaeus, 1758)","Numenius phaeopus"
"129","3 faucon cre´cerelle - glare´ole a` collier/46 courvite isabelle.mp3","46 courvite isabelle.mp3","courvite isabelle","Cursorius cursor (Latham, 1787)","Cursorius cursor"
"130","1 plongeon catmarin - tadorne casarca/26 crabier chevelu.mp3","26 crabier chevelu.mp3","crabier chevelu","Ardeola ralloides (Scopoli, 1769)","Ardeola ralloides"
"131","9 me´sange charbonnie`re - e´tourneau roselin/27 crate´rope fauve.mp3","27 crate´rope fauve.mp3","crate´rope fauve",NA,"argya fulva"
"132","9 me´sange charbonnie`re - e´tourneau roselin/35 crave a` bec rouge.mp3","35 crave a` bec rouge.mp3","crave a` bec rouge","Pyrrhocorax pyrrhocorax (Linnaeus, 1758)","Pyrrhocorax pyrrhocorax"
"133","1 plongeon catmarin - tadorne casarca/38 cygne chanteur.mp3","38 cygne chanteur.mp3","cygne chanteur","Cygnus cygnus (Linnaeus, 1758)","Cygnus cygnus"
"134","1 plongeon catmarin - tadorne casarca/39 cygne de Bewick.mp3","39 cygne de Bewick.mp3","cygne de bewick","Cygnus columbianus (Ord, 1815)","Cygnus columbianus"
"135","1 plongeon catmarin - tadorne casarca/37 cygne tubercule´.mp3","37 cygne tubercule´.mp3","cygne tubercule´","Cygnus olor (Gmelin, JF, 1789)","Cygnus olor"
"136","8 fauvette orphe´e - gobemouche a` demi-collier/14 dromoi¨que du de´sert.mp3","14 dromoi¨que du de´sert.mp3","dromoi¨que du de´sert",NA,"scotocerca inquieta"
"137","10 loriot d'europe - bruant striole´/23 durbec des sapins.mp3","23 durbec des sapins.mp3","durbec des sapins","Pinicola enucleator (Linnaeus, 1758)","Pinicola enucleator"
