duration_song,centroid_f,Ht_temporal_entropy,LFC_spectral_cover,MFC_spectral_cover,HFC_spectral_cover,Hf_spectral_entropy,number_of_freq_peaks,Hf_Havrda_spectral_entropy,Hf_Renyi_spectral_entropy,Hf_pairedShannon_spectral_entropy,Hf_gamma_spectral_entropy,Hf_GiniSimpson_spectral_entropy,peak_freq,peak_freq_amp_by_mean_amp,peak_f_roi,centroid_f_roi,num_syllables_per_unit_time,syllable_duration_mean,syllable_duration_std,mean_gap_duration,gap_duration_std,sound_per_silence_ratio,sound_per_vocalization_ratio,drumming,birdlife_sci_name,short_or_continuous_song
2,4220.5078,0.8763,0.3457,0.3032,0.3381,0.5033,23.2,0.3299,2.6735,4.101,1086.2145,0.9267,4164.7617,4.7379,4208.6281,4220.5078,9.2,0.0493,0.0096,0.0591,0.0148,0.8729,0.45,no,Emberiza cirlus,short
1,628.7695,0.7326,0.348,0.4203,0.4304,0.2728,1.6,0.3132,1.42,2.579,89.8185,0.7779,627.9031,9.5884,629.7031,628.7695,2.8,0.0799,0.0377,0.1682,0.0449,0.2095,0.2095,no,Cuculus canorus,short
3.6,4177.4414,0.7557,0.3945,0.3284,0.368,0.6082,22.8,0.333,3.3815,4.7792,2115.16,0.9703,4080.6289,1.5363,4046.1625,4211.8945,5.0833,0.0516,0.019,0.1426,0.0895,0.3858,0.254,no,Phylloscopus collybita,short
3.8,3548.6719,0.7868,0.397,0.3504,0.3698,0.5192,8.6,0.3302,2.8576,4.2046,949.5016,0.9349,3672.4047,5.3082,3676.2047,3591.7383,7.0667,0.0555,0.0115,0.0921,0.0463,0.6689,0.3859,no,Lullula arborea,short
2.75,4877.2705,0.8532,0.3417,0.3059,0.3226,0.5932,22.5,0.3327,3.1889,4.6838,1818.0045,0.9663,4747.7715,2.3821,4748.2715,4823.4375,9.625,0.048,0.0192,0.0579,0.0263,0.862,0.4587,no,Emberiza citrinella,long
5.4,3428.0859,0.8766,0.3425,0.3243,0.326,0.6054,31,0.3329,3.3287,4.7613,2405.942,0.9692,3182.8476,1.8226,3221.3008,3428.0859,8.7714,0.0551,0.0175,0.0687,0.0268,0.6693,0.4845,no,Curruca communis,long
1.2,2523.6914,0.8497,0.3533,0.2786,0.3478,0.4366,25.6,0.33,2.3275,3.6783,489.1547,0.9132,2466.9453,7.1939,2464.132,2540.918,6.9,0.0679,0.0274,0.1075,0.0541,0.4894,0.4551,no,Turdus viscivorus,long
0.6,2394.4922,0.8642,0.2935,0.2297,0.3012,0.5351,29.6,0.3319,2.8379,4.3111,1574.4856,0.948,2614.7711,1.3635,2495.3851,2437.5586,6,0.0557,0.015,0.0771,0.0478,0.3109,0.3109,no,Pica pica,short
3.1667,4959.8144,0.8404,0.3546,0.3372,0.3631,0.6218,14.5,0.3328,3.317,4.8646,2306.4931,0.9711,5268.5684,2.5848,5348.0235,4974.1699,8.6667,0.0515,0.0169,0.0711,0.0304,0.7553,0.4459,no,Prunella modularis,long
5.3333,3445.3125,0.839,0.3884,0.3776,0.3851,0.6133,11.6667,0.3331,3.6072,4.8135,1703.9869,0.9748,3581.112,1.2498,3577.4453,3459.668,6.7976,0.0549,0.0227,0.0897,0.0594,0.6347,0.3737,no,Prunella collaris,""
34,3789.8438,0.8596,0.3998,0.335,0.3794,0.6431,11,0.3331,3.7123,5.0008,2410.052,0.9782,3667.5781,0.7217,3696.6445,3789.8438,7.5882,0.0519,0.0218,0.0809,0.0509,0.6437,0.3937,no,Melanocorypha calandra,""
1.375,3859.8267,0.8411,0.3495,0.3373,0.3613,0.6004,18.75,0.3329,3.3233,4.7293,1895.2933,0.9685,4070.4507,2.0403,4074.1006,3865.21,9.25,0.0541,0.0154,0.0714,0.0334,0.6366,0.4954,no,Calandrella brachydactyla,""
0.2,4043.9356,0.6838,0.386,0.3756,0.3922,0.5492,33.6,0.3304,2.5767,4.3914,2234.7965,0.9344,4276.7277,4.3982,4277.5277,4091.3086,2.6,0.0541,0.0023,0.1197,0.0065,0.1442,0.1442,no,Loxia curvirostra,""
1.6,5969.0039,0.7849,0.3807,0.3171,0.359,0.5946,12.6,0.3328,3.2862,4.6923,1855.8208,0.9662,6147.2164,1.643,6150.4164,5951.7773,6.15,0.0537,0.0147,0.0801,0.0175,0.4056,0.3223,no,Motacilla cinerea,short
2,4258.1909,0.811,0.3304,0.3133,0.3451,0.6071,17.875,0.3327,3.1855,4.7702,2124.8346,0.9664,4464.9483,1.8024,4585.7642,4317.4072,2.5,0.0592,0.0158,0.0407,0.007,0.1548,0.1268,no,Motacilla alba,short
0.7778,5148.8281,0.7696,0.3608,0.3187,0.3345,0.613,21.5556,0.3328,3.4568,4.8089,2016.4001,0.9699,4897.1558,1.2566,4844.8377,5038.7695,3.7222,0.0521,0.0112,0.0846,0.0294,0.1991,0.1832,no,Motacilla flava,short
