"";"duration_song";"centroid_f";"LFC_spectral_cover";"MFC_spectral_cover";"HFC_spectral_cover";"Hf_spectral_entropy";"number_of_freq_peaks";"syllable_duration_mean";"sound_per_vocalization_ratio"
"Curruca melanocephala";1,5;4360,4736328125;0,373921704905303;0,32275990328325;0,336056349914976;0,526266760645563;25,75;0,039751439171123;0,48418
"Curruca undata";2,25;3929,8095703125;0,337160505079543;0,336350883401809;0,326597910344523;0,598358672979983;22;0,0464758394798137;0,438757083333333
"Cyanistes caeruleus";2,28571428571429;5124,90234375;0,371388792407023;0,329521172176865;0,352000627804094;0,574410949137509;24,5;0,0535831143358793;0,425188547619048
"Delichon urbicum";9;3940,576171875;0,367491002256544;0,349177632369563;0,357398665526033;0,660170989290105;17,5;0,0498978618421052;0,389386999999999
"Dendrocopos major";0,631578947368421;2162,38692434211;0,260040882224572;0,298662465213052;0,319873455097043;0,504348164038238;25,5263157894737;0,0410636866043313;0,253203684210526
"Dryobates minor";1,625;1878,77197265625;0,296743295236826;0,296291919860152;0,330244515107696;0,464016118680305;18,625;0,03835812141979;0,454305416666667
"Dryocopus martius";3,5;1686,767578125;0,332997192511254;0,256223557189895;0,327361432979029;0,402812948580557;17,8333333333333;0,0501330231238103;0,429363583333333
"Emberiza calandra";2,75;5749,365234375;0,422217605292134;0,365364656848318;0,405808555453863;0,65044854557732;20,5;0,0453500738191633;0,412695
"Emberiza cia";2,66666666666667;4507,6171875;0,395585413931326;0,330625645543958;0,363122516042418;0,633449719796222;30;0,0485920155334861;0,370391111111111
"Emberiza cirlus";2;4213,88221153846;0,326206523955682;0,295808731482922;0,318443383846874;0,503594561057642;22,9230769230769;0,0493371980220304;0,443971153846154
"Emberiza citrinella";2,875;4866,50390625;0,350470926945069;0,31225093389372;0,340982381938218;0,593225936099147;23,875;0,0477368937966914;0,459228645833333
"Emberiza hortulana";1,72727272727273;3832,91015625;0,361675767526518;0,332908551763674;0,369237662853866;0,457936561203507;22,2727272727273;0,054343525842844;0,363536363636364
"Emberiza schoeniclus";2;4112,841796875;0,41673854850125;0,359105869422115;0,376548689260781;0,578926179378527;22,75;0,0680864090909091;0,33124625
"Erithacus rubecula";3,11111111111111;4115,234375;0,380849118389252;0,339836878546997;0,364852148994529;0,586929203098293;22;0,0502752984460651;0,394842259259259
"Ficedula albicollis";4;3886,7431640625;0,397270857908249;0,317148619685618;0,358962719531565;0,566980929032904;27;0,0529483136363636;0,277225791666666
"Ficedula hypoleuca";3,54545454545455;3962,109375;0,400230176744024;0,37154637756626;0,382884601701891;0,626824183206702;29,8181818181818;0,0597591150932401;0,38720990430622
"Fringilla coelebs";2,05882352941176;3323,71323529412;0,378464760410438;0,347950570692596;0,371498516072595;0,582597541905889;25,1764705882353;0,0623529521238085;0,420505392156863
"Fringilla montifringilla";1;3479,765625;0,314772347009663;0,273154258914535;0,325073009374825;0,467566202492438;25;0,104513333333333;0,28183
"Galerida cristata";9,75;3843,6767578125;0,403869743610535;0,317195780525701;0,38372747524234;0,569185053018332;19,25;0,0564066841859701;0,325265097222222
"Garrulus glandarius";4,125;2433,251953125;0,32666864116591;0,269867468442937;0,322042569097649;0,587940952517835;29,3125;0,0521728294952635;0,360493444399351
"Hippolais icterina";13,75;4898,8037109375;0,382513312118909;0,370360363948492;0,376981847293163;0,730061940210348;37,25;0,056183181920328;0,362253331862745
"Hippolais polyglotta";3,25;3700,1220703125;0,363759912946115;0,323821167245197;0,339858594630148;0,5990326582113;30,0833333333333;0,0516575741363461;0,366135158730159
"Hirundo rustica";7;4249,21875;0,384887384071496;0,364225697645183;0,377202964320938;0,659709875183257;14,6666666666667;0,0492316265432099;0,344150476190476
"Jynx torquilla";4;3258,69140625;0,35849923327437;0,339854500379643;0,355172229971814;0,50389013118487;22;0,0559039074212894;0,312800888888889
"Lanius collurio";1,45454545454545;3081,20561079545;0,358212043894445;0,283707476094972;0,346149358283047;0,559966796344949;26,6363636363636;0,0525213535369859;0,357261439393939
"Lanius excubitor";1,05263157894737;2599,85094572368;0,378475686858256;0,30353801204576;0,366503271418943;0,40106127193783;26,4736842105263;0,0547574912272356;0,240001954887218
"Lanius meridionalis";0,944444444444444;2564,84375;0,369638083195297;0,287320542593954;0,347933630394059;0,391399244912601;26,9444444444444;0,0534362435897436;0,256993888888889
"Lanius senator";16,5;3703,7109375;0,398102593654596;0,356700455202373;0,391639230097731;0,672298390630309;33;0,0556704516061742;0,360782304347825
"Leiopicus medius";3,1;2803,623046875;0,308562357653851;0,268102184036904;0,284255417858924;0,576436476587855;32,1;0,0578598115124977;0,357031907142857
"Linaria cannabina";14;3703,7109375;0,365444633592737;0,327489809153233;0,345760758838363;0,689873527055088;32;0,0613221428571429;0,429255
"Locustella luscinioides";10,3333333333333;4091,30859375;0,336956717482944;0,261752599623545;0,301538174952356;0,607680526453006;23,3333333333333;0,0443054963515706;0,417048767507003
"Locustella naevia";10;6115,4296875;0,355965485609448;0,283075335397317;0,33549623448506;0,502325895126029;11;0,0510355208333333;0,489941
"Lophophanes cristatus";1,83333333333333;4608,10546875;0,372161115939533;0,326356200026846;0,352906259793441;0,556798644661303;20,1666666666667;0,0444924655019604;0,451453333333333
"Loxia curvirostra";0,2;4043,935546875;0,38600029708894;0,375540890450757;0,392221529211655;0,549154267160841;33,6;0,054149625;0,144252
"Lullula arborea";3,76923076923077;3514,88131009615;0,39647057710653;0,348530856307553;0,371544559876927;0,52666983991251;8,53846153846154;0,0549118836146984;0,374397551282051
"Luscinia megarhynchos";3,4;2988,80859375;0,389287563143417;0,323888578203991;0,361926890868054;0,524543745515555;21,6;0,0603361774427302;0,384072166666667
"Luscinia svecica";7,75;4026,708984375;0,418141837326631;0,308371994387048;0,343955817745066;0,55296698094315;25;0,0544630675779535;0,374342678571429
"Melanocorypha calandra";34;3789,84375;0,399764590319412;0,335020637662646;0,379448684731;0,643092601868036;11;0,0518792248062015;0,393671764705882
"Merops apiaster";3,375;1970,2880859375;0,364689476333937;0,280918211327247;0,332680036056192;0,43560192962966;26,375;0,0559973898809524;0,296958333333333
"Monticola saxatilis";6,2;3229,98046875;0,380010709749493;0,307428864549733;0,34955202062642;0,587267761186635;25,6;0,056662569115864;0,396258712121212
"Monticola solitarius";4,33333333333333;3086,42578125;0,348021256778064;0,300201910761065;0,317768734809534;0,530292017778807;29,3333333333333;0,0561347809979875;0,396610333333333
"Motacilla alba";2;4258,19091796875;0,330429429825354;0,313320928390441;0,345128606282144;0,607106569507129;17,875;0,059208037109375;0,126815546875
"Motacilla cinerea";1,6;5969,00390625;0,380660891293846;0,317140208174692;0,359009617598416;0,594623082861355;12,6;0,0537332051282051;0,3223255
"Motacilla flava";0,777777777777778;5148,828125;0,360754775754359;0,318706805781272;0,334521967688461;0,61302291324593;21,5555555555556;0,0521611167227834;0,183179444444444
"Muscicapa striata";8,66666666666667;7249,51171875;0,314210537233448;0,256739601493059;0,259668650782138;0,692693665363546;33;0,0508235888343334;0,275929761904762
"Nucifraga caryocatactes";2,25;2530,1513671875;0,381474651623391;0,369482523209704;0,398735578152222;0,575136362529181;18;0,0999032020202021;0,410464583333333
"Oenanthe hispanica";1,11111111111111;3617,578125;0,340078721433172;0,296148784338614;0,33903118132772;0,595974185612622;29,1111111111111;0,0555466710512341;0,362459814814815
"Oenanthe oenanthe";1,44444444444444;3986,03515625;0,367738163172484;0,321695033664017;0,335487714106488;0,543167794421282;32,4444444444444;0,0552330515472182;0,39919462962963
"Oriolus oriolus";1;2054,8828125;0,394991057155194;0,260395028984813;0,350787568629469;0,389919803958832;29,4285714285714;0,0517336468253968;0,337725714285714
"Parus major";2,31372549019608;4456,10638786765;0,403064264345931;0,332419428540813;0,377788279334874;0,531326327513971;26,2352941176471;0,059304294532753;0,340922343137255
"Passer domesticus";0,625;3838,29345703125;0,297383749380861;0,291045051469613;0,28585679514966;0,573272160232778;36,25;0,0557371056547619;0,144669375
"Passer montanus";3;3703,7109375;0,384294585382146;0,339162630883338;0,368244536209548;0,633235164099243;36,3333333333333;0,0613718888888889;0,193553703703704
"Periparus ater";3,1;5137,822265625;0,386132163560805;0,276037908495734;0,352340017001257;0,566090615807502;20,9;0,0573867710713983;0,389527833333333
"Petronia petronia";0;3488,37890625;0,310502713953727;0,312537360886535;0,304473361570264;0,566421854727281;32,1428571428571;0,0638542857142857;0,127708571428571
"Phoenicurus ochruros";2,8;4496,1328125;0,395301057800899;0,327172264148169;0,370502046031391;0,562162629625151;22,3333333333333;0,0512775981405098;0,381034888888889
"Phoenicurus phoenicurus";2,2;3953,49609375;0,387955886880031;0,329085361076225;0,359165885977325;0,529739419143304;27,6;0,0534972505108926;0,377273333333333
"Phylloscopus bonelli";1;4694,23828125;0,260953296043226;0,294478169939124;0,235172120490417;0,676181586843449;23,1666666666667;0,0318950106837607;0,409253333333333
"Phylloscopus collybita";3,77777777777778;4742,08984375;0,395477450598259;0,331977945270717;0,367469169189324;0,60629918345389;22,6666666666667;0,0475997919048361;0,2657405
"Phylloscopus sibilatrix";4;4877,2705078125;0,386674787681815;0,329017392143526;0,361995557027043;0,61107744377354;22,75;0,0460464209401709;0,427627916666666
"Phylloscopus trochilus";3,16666666666667;3775,48828125;0,394855138209522;0,319343627426507;0,383762315308822;0,609689249066167;21;0,0540449898013956;0,441646805555556
"Pica pica";2,11111111111111;2531,34765625;0,309004765323462;0,250249477963987;0,299305067396808;0,579154157908777;31,4444444444444;0,0528984588716624;0,305732905982906
"Picus canus";2,5;1902,099609375;0,341442914737983;0,258805065536243;0,313196082863746;0,435415312402469;27,1666666666667;0,0543657424940697;0,425923333333333
"Picus viridis";2,75;2077,9541015625;0,358367173499757;0,316175874764256;0,348376738887302;0,340385345725811;23,25;0,05633552213868;0,378648333333333
"Poecile montanus";1,14285714285714;4881,884765625;0,37742787109883;0,330932041862814;0,357933413869364;0,572410830245533;25,7142857142857;0,0551749383116883;0,333372142857143
"Poecile palustris";1,48275862068966;4395,74353448276;0,389444537554416;0,340459325989725;0,38142528564891;0,584526380973404;26,5862068965517;0,0527311846772881;0,356872270114943
"Prunella collaris";5,33333333333333;3445,3125;0,38837833265853;0,377575046944169;0,385071461804192;0,613337424514983;11,6666666666667;0,0548843428571429;0,373721071428571
"Prunella modularis";3,16666666666667;4959,814453125;0,354614962345518;0,337148323409283;0,363109494553393;0,621842600622407;14,5;0,0515276816578484;0,445873194444445
"Ptyonoprogne rupestris";0,304347826086957;3613,8332201087;0,272799729463201;0,21633349462447;0,273414953169078;0,565755444034988;33,1304347826087;0,0598917094680682;0,110674565217391
"Pyrrhocorax graculus";0,666666666666667;3120,87890625;0,339045058615219;0,312225398108344;0,319187386664239;0,524360797860253;28,5333333333333;0,0612103888888889;0,160216666666667
"Pyrrhocorax pyrrhocorax";1;2251,7578125;0,256077575059716;0,305590369392166;0,301011221434289;0,601060422756608;29,8571428571429;0,0626286471861472;0,197578775510204
"Pyrrhula pyrrhula";26;2282,51953125;0,399722446056048;0,264695649949478;0,341816154999833;0,517018131406078;17;0,055394756097561;0,349413076923077
"Regulus ignicapilla";2,25;7536,62109375;0,362581447371564;0,294144186578041;0,335772105241513;0,449164293336243;15,875;0,0548492050438597;0,472894791666667
"Regulus regulus";3;6158,49609375;0,373764855819969;0,321679962276921;0,349422471451765;0,611849110094745;23;0,0512246553579271;0,421812380952381
"Riparia riparia";5,66666666666667;4364,0625;0,360217395866023;0,323725770146549;0,347557485462415;0,660467703828843;17;0,0589155701357466;0,405961
"Saxicola rubetra";1,42857142857143;3777,5390625;0,364455046375513;0,299190856987596;0,33874193659253;0,60968229085625;29,9285714285714;0,0525761512810666;0,327439642857143
"Saxicola torquatus";1;4328,173828125;0,384131958559726;0,334621777124381;0,341772619263696;0,605531864686191;28;0,0522116414141414;0,510596666666667
"Serinus serinus";2,33333333333333;6574,8046875;0,326135434356184;0,341219462687193;0,317370395583146;0,683091420224402;37;0,0415721786094564;0,391633703703704
"Sitta europaea";2,63636363636364;3159,50816761364;0,372128842848109;0,285743946510791;0,368525065270638;0,436462396061077;18,8181818181818;0,050897945977954;0,35508446969697
"Spinus spinus";5,2;4151,6015625;0,358634486851506;0,336936183772854;0,342161347486086;0,602187550950167;31;0,0489601398521163;0,397884428571429
"Streptopelia decaocto";21;516,796875;0,296728262070489;0,407230455987499;0,415909986471511;0,230916860661477;1;0,0481793150684932;0,334960952380952
"Streptopelia turtur";2,7;551,25;0,267951783485437;0,361961786371533;0,371879125326419;0,224021208694982;1,9;0,056580476978577;0,368237975
"Sturnus unicolor";1,6875;3593,35327148438;0,339286734262865;0,329271184186951;0,338160573864428;0,521833521008347;31,5625;0,0534634991101241;0,301119270833333
"Sturnus vulgaris";5,54545454545455;3782,01349431818;0,358086547812995;0,310506984383364;0,341459405486352;0,632475406986198;28;0,0555674623526235;0,367153505509642
"Sylvia atricapilla";6;3229,98046875;0,4087858176906;0,35726381074443;0,389840480252685;0,575461952946001;28;0,0551627493662034;0,357837968253969
"Sylvia borin";5,5;3176,1474609375;0,381440334315629;0,347175702224926;0,37391382583376;0,610423763712193;25,5;0,0546820320688084;0,41396925
"Tachymarptis melba";7,75;3832,91015625;0,326900959275365;0,336741152187503;0,334301655516389;0,55351674401509;29,25;0,0431577298573411;0,41405690625
"Tetrax tetrax";0;3692,9443359375;0,280041928408609;0,278688270122848;0,300061486482126;0,722284342282644;16;0,05560125;0,222405
"Troglodytes troglodytes";4,5;4705,0048828125;0,420093590522671;0,33982636621031;0,403660125242338;0,610937485020129;16;0,0460418400052329;0,386898833333333
"Turdus iliacus";9;4715,771484375;0,377017217253707;0,267759921074783;0,308757686697287;0,628905771580852;31;0,0529794375;0,343068311688312
"Turdus merula";4,58333333333333;2892,626953125;0,368281626130542;0,320519374339217;0,353438939664957;0,584357959805026;28,5833333333333;0,0588349664529915;0,399039890873016
"Turdus philomelos";1,84615384615385;2941,76682692308;0,417516537617294;0,282706681743758;0,355790187739722;0,489537440287884;24,2307692307692;0,0649902370634644;0,347832756410256
"Turdus pilaris";3,2;3591,73828125;0,393858757618657;0,3564099454093;0,35322220760157;0,694476476456288;29;0,0545747343161343;0,367572266666667
"Turdus torquatus";1;3587,96997070312;0,357964724472857;0,31632792525317;0,33586408777393;0,615226066301209;32,8125;0,0571252689552772;0,3331515625
"Turdus viscivorus";2;2513,232421875;0,380878464761669;0,288556465638495;0,368052702517298;0,440842465550701;25,3571428571429;0,0645493556799064;0,427516214285714
"Upupa epops";0,857142857142857;572,16796875;0,327165649882106;0,375096518723185;0,391019383608555;0,137416952751306;2,28571428571429;0,0646828571428572;0,184304285714286
