"";"NomS";"SGIo";"RANGE_BIRDLIFE";"Affinity";"Hand-Wing.Index";"Beak.Depth";"Mass";"Migration";"Habitat";"Trophic.Niche";"Primary.Lifestyle";"Centroid.Latitude";"Range.Size";"avg.clutch";"social";"longevity";"X2019_uicn_redlist";"syn1";"syn2";"syn3";"syn4";"Ht";"Hf";"nfp";"nfp.cqv";"pf";"pf.cqv";"actfract";"sp.bdw";"ugof.iso";"npvi.ioi";"npvi.ioi.cqv";"n.syll";"dur";"syll.dur.med";"ioi.dur.med";"syll.dur.med.cqv";"nonphy.acou.PC1";"nonphy.acou.PC2";"phy.acou.PC1";"phy.acou.PC2"
"48";"Dryocopus martius";1,59074522;38,176;810;26,4;13,2;321;1;"Forest";"Invertivore";"Insessorial";56,28;19634445,89;5;4,5;14;"LC";-0,291582204298302;-0,328393267160433;-0,494431274144119;-0,441183619512988;0,8058;0,4028;17,8333;7,483;1646,9902;10,9655;0,2321;854,1504;0,4836;12,1667;73,8482;10,2917;3,5;0,048;0,1403;22,9557;-2,04760976979517;0,967946357276104;3,13876543053666;-1,35339159071215
"49";"Emberiza calandra";1,438421671;37,459;1739;26,5;8,2;48,5;2;"Grassland";"Omnivore";"Terrestrial";44,09;7483952,2;5;NA;10,5;"LC";0,145720093590525;-0,119182473459528;0,261371503543141;0,189161668566827;0,8415;0,6504;20,5;8,2353;5221,4688;1,851;0,3454;2562,4512;0,5205;19,8289;15,7337;9,125;2,75;0,0434;0,1081;9,4681;2,26822468780921;-0,240361543204003;-2,16333679439401;-1,35703895321478
"50";"Emberiza cia";1,380172096;17,418;199;19,6;4,8;23,43;2;"Rock";"Omnivore";"Terrestrial";39,73;4412208,21;4,5;NA;NA;"LC";-0,182539782767468;-0,597033250664309;-0,846347689388262;-0,606221091581986;0,7399;0,6334;30;4,2017;4847,7266;5,2347;0,3028;2598,3398;0,4422;21,7965;9,9372;7,6111;2,6667;0,0493;0,134;2,188;1,55840487177368;-1,04419563501186;-1,96365485650907;0,520312932564007
"51";"Emberiza cirlus";1,918035396;56,93;475;20,2;6,2;25,6;2;"Shrubland";"Granivore";"Terrestrial";41,65;2173407,94;3,5;NA;6,09;"LC";0,0348352645128688;-0,10930839727096;0,0401072836273089;0,0229363885991171;0,8763;0,5033;23,2;6,383;4164,7617;1,1633;0,2448;1162,793;0,5166;5,1065;9,3272;9,2;2;0,0496;0,1049;1,4913;0,941534759187505;0,308316242797145;-0,495773435736535;-1,56537011509949
"52";"Emberiza citrinella";1,929803677;57,629;2037;25,7;5,9;29,7;2;"Shrubland";"Granivore";"Terrestrial";56,2;12899942,03;4;NA;13;"LC";-0,0218698485022692;-0,207879347076031;-0,0115396154604138;-0,0511678317236878;0,8532;0,5932;22,5;7,6923;4747,7715;8,4164;0,2429;1991,8213;0,5102;15,3274;11,2733;9,625;2,75;0,0501;0,0974;2,1683;1,6961389235065;-0,618239915838179;-1,14839507557387;-0,754523966328791
"53";"Emberiza hortulana";1,352232956;16,748;617;28,8;5,4;19,9;3;"Shrubland";"Omnivore";"Generalist";52,13;9881195,68;4,5;NA;6,8;"LC";0,0187935858123129;-0,162540158653153;-0,166576686904389;-0,0359411053096057;0,836;0,4579;22,2727;8,6957;3694,8082;9,9542;0,2872;1284,1619;0,4981;23,7646;8,1233;6,6364;1,7273;0,0573;0,1205;9,7201;-0,151010568011082;0,907313750418157;0,368820118394442;-0,395817762916774
"54";"Emberiza schoeniclus";0,21639376;48,711;820;21,1;5,1;18,4;2;"Wetland";"Omnivore";"Terrestrial";55,24;23743379,81;4,5;NA;11,25;"LC";0,129842160808075;0,041133687837695;0,334226650069867;0,194683723085833;0,8312;0,5789;22,75;7,2626;3699,1279;0,3653;0,3146;1593,457;0,5261;7,5882;3,4657;4,875;2;0,062;0,2012;3,8336;-0,418200102064377;0,876969649679458;-0,44000470062267;-0,197910788280576
"55";"Erithacus rubecula";2,130974695;63,474;2752;19,9;3,3;17,7;3;"Forest";"Omnivore";"Generalist";53,82;10001378,73;5;NA;19,3;"LC";-0,0246152035547487;-0,025005320096894;-0,0351142538344903;-0,0326499998246878;0,8301;0,5906;21,25;13,1429;4314,5908;0,401;0,2834;1884,1553;0,5305;19,0011;12,8349;8,1833;3;0,0475;0,1039;2,6633;1,59119431047822;0,234150449412608;-1,26035789830096;-1,15717617323166
"56";"Ficedula albicollis";NA;NA;243;31,9;3,2;12,69;3;"Woodland";"Invertivore";"Insessorial";50,03;2473537,35;6;NA;9,8;"LC";NA;NA;NA;NA;0,7085;0,567;27;2,7523;3518,6123;4,2838;0,3;2045,6543;0,4729;26,3594;7,9044;5,25;4;0,0532;0,1774;2,5295;0,415679012115502;0,390526740009603;-0,892873181325158;0,891363342877681
"57";"Ficedula hypoleuca";1,958992767;11,723;553;30,4;3,2;13,79;3;"Forest";"Invertivore";"Insessorial";57,07;7339714,14;6;NA;15;"LC";-0,124507427654868;-0,00675431507603309;-0,232248512363101;-0,16945715815366;0,8277;0,6241;29;8,4746;4122,482;1,9736;0,3078;2205;0,4881;19,9369;22,2514;6,8;2;0,0566;0,1685;1,3593;0,713143353935572;-0,129199593070108;-1,29850161256412;0,580900375817456
"58";"Fringilla coelebs";2,260495422;63,458;3586;27,6;6,7;23,81;2;"Forest";"Invertivore";"Generalist";52,79;13931193,45;4,5;NA;29;"LC";-0,00854505508822053;-0,0194991879539747;-0,0133905023430833;-0,0141637655019235;0,8153;0,5785;25;4;3190,8477;4,0615;0,2946;1525,7812;0,3872;9,1774;17,0672;7,119;2;0,0617;0,1443;13,4809;-0,876579803395474;-0,0706979605906218;0,452699408457183;-0,0424012502336642
"59";"Fringilla montifringilla";NA;NA;431;32,5;7,4;23,19;3;"Forest";"Omnivore";"Generalist";60,69;13666715,85;6;NA;14,75;"LC";-0,333245695051421;-0,392684443931091;-0,420296261846456;-0,466125519769251;0,9019;0,4676;25;8;3582,0586;10,5244;0,2189;913,0078;0,288;10,5907;100;2,8;1;0,1045;0,1438;13,682;-5,06680395163634;-0,505119850916926;3,57410317832233;2,70473331060332
"60";"Galerida cristata";1,094907977;31,468;310;26,7;5,4;42,68;1;"Grassland";"Omnivore";"Terrestrial";34,48;24389170,69;4;3,5;11,6;"LC";0,181936645331005;0,0653871842419272;0,262657417535886;0,25842922830839;0,809;0,5692;19,25;14,4654;4049,6924;1,4918;0,3081;1259,6924;0,4732;26,9897;9,5433;5,725;9,75;0,0537;0,1468;3,9723;0,661246505843528;1,46511336505932;-0,806010072108717;-0,499867207179108
"61";"Garrulus glandarius";2,113140072;63,462;1082;19,4;11,6;159,46;2;"Forest";"Omnivore";"Insessorial";51,02;19458203,9;6;3,5;17;"LC";-0,0426762887144155;-0,0580194129212066;-0,0583736020518028;-0,0603021287317867;0,9051;0,6666;33;2,9412;2840,9031;3,8813;0,2184;2583,9844;0,458;22,5785;3,3265;6;1;0,0508;0,1157;8,5647;0,993832647600793;-1,27434851980682;-0,747317537826767;1,6489573792169
"62";"Hippolais icterina";1,454428285;11,357;681;30,8;3,4;13,2;3;"Woodland";"Invertivore";"Insessorial";54,61;6330920,54;4,5;NA;10,83;"LC";0,183224083153903;0,099594347487687;0,539176045252527;0,360513844069975;0,8422;0,7301;37,25;1,6835;4216,958;22,5041;0,3273;4231,2744;0,5037;19,0543;13,6311;6,4571;13,75;0,0513;0,148;1,5787;2,50142387821436;-2,4816267168978;-2,67176396157059;2,27792876373287
"63";"Hippolais polyglotta";2,056050894;61,935;374;21,2;3,2;11;3;"Woodland";"Invertivore";"Insessorial";41,86;1710837,05;4,5;NA;8,83;"LC";0,0551923518533271;-0,0549130103581874;0,127337856844697;0,0810693616316288;0,7893;0,599;30,0833;14,2857;3775,333;3,6111;0,2748;2052,832;0,5374;17,2269;12,0633;7,0916;3,25;0,0519;0,1304;8,8159;0,567398448332405;-0,46441474046142;-0,658721193962962;0,0605619838263527
"64";"Hirundo rustica";1,642301646;63,126;1062;52,6;2,7;17,91;3;"Human Modified";"Invertivore";"Aerial";47,56;51701054,06;4,5;3,5;16;"LC";0,0585081698298036;-0,0256312743890641;0,102830398116262;0,0749568899723892;0,8471;0,6597;14,6667;10;4209,0859;5,1284;0,3104;2311,2305;0,4952;26,6433;4,7837;7;7;0,0493;0,1263;1,4719;2,03501317218313;0,599671640485222;-1,71300859595815;-0,700098593230914
"65";"Jynx torquilla";2,085058153;42,803;304;27,1;3,9;34,96;3;"Woodland";"Invertivore";"Terrestrial";53,28;17649135,86;8,5;NA;10;"LC";-0,1513292869946;-0,291102531336799;-0,341884083876316;-0,260573917027177;0,844;0,5039;22;7,8652;3213,8919;6,2353;0,2883;1650,8789;0,4604;12,3857;44,9878;5,6278;4;0,0585;0,193;4,4032;-1,11187859296164;0,711146228353933;0,708380430743162;0,131069147111529
"66";"Lanius collurio";1,636368013;49,187;305;31;7;28,44;3;"Woodland";"Invertivore";"Insessorial";52,82;10799323,67;5;1,5;10,1;"LC";-0,00798949599173874;-0,256529047410848;-0,0450126473907813;-0,0557310339782645;0,748;0,56;26,6364;8,4112;2849,8679;16,5475;0,2601;2290,3498;0,4867;22,088;32,887;6,9242;1,4545;0,0518;0,1174;8,0706;-0,0724307784748567;-0,889982444356641;0,489944883363091;0,64910971734687
"67";"Lanius excubitor";1,689923452;26,785;223;26,3;9,3;63,41;3;"Shrubland";"Vertivore";"Insessorial";40,81;23487697,84;5,5;5;8,17;"LC";-0,0638077887716363;-0,576553433535143;0,0526514730528178;-0,12224322664685;0,7205;0,4011;26,4737;13,2075;2675,5841;10,2455;0,2875;784,2619;0,4156;20,6013;26,9419;4,4737;1,0526;0,0515;0,1352;4,7306;-1,55753235432757;0,83536941562059;1,45600704644608;-0,0908602566706028
"68";"Lanius meridionalis";1,131397248;2,358;62;23,8;8,9;60,43;2;"Shrubland";"Invertivore";"Insessorial";40,37;557659,42;5;NA;NA;"VU";NA;NA;NA;NA;0,696;0,3914;26,9444;14,2857;2644,0658;10,2899;0,2701;717,7734;0,5235;25,4329;19,6322;4,8611;0,9444;0,05;0,1377;4,7419;-1,09440317374485;1,17006288394365;1,26619510381495;-0,129831224567017
"69";"Lanius senator";1,300480859;23,943;116;31,4;7,3;35,97;3;"Shrubland";"Invertivore";"Insessorial";38,9;2577480,33;5,5;5;5,69;"LC";0,055134972495064;-0,0597544910136247;0,160917220968824;0,155662253130955;0,8198;0,6723;33;3,0303;3398,1465;1,002;0,3391;2799,3164;0,4876;21,3716;2,1345;6,4652;16,5;0,0515;0,1382;0,6988;2,44038486353574;-0,0795784111515068;-2,64078951132475;0,881720478649169
"70";"Leiopicus medius";0,85683725;37,436;NA;28,1;6,3;59;1;"Woodland";"Invertivore";"Insessorial";47,76;3966649,98;NA;NA;NA;"LC";-0,418033647564529;-0,303283368390513;-0,701042313266515;-0,595033676798386;0,9057;0,5764;32,1;3,125;2819,7832;3,7727;0,1957;1813,0957;0,4934;17,3017;14,3376;6,315;3,1;0,0588;0,1213;9,4724;0,0296367223111737;-0,583516248559418;0,204324689167101;1,33756990641961
"71";"Linaria cannabina";1,943559898;63,477;743;34,4;6,6;19,53;1;"Shrubland";"Granivore";"Terrestrial";49,19;10715477,38;5;NA;9,42;"LC";0,0956826305305766;-0,0649675234925586;0,145101860087702;0,10162016987572;0,8819;0,6899;32;0;3208,9141;0;0,2791;2799,3164;0,5106;18,5962;0;7;14;0,0551;0,1335;0;2,44297233442317;-0,355984168342616;-2,37071732258106;1,14566437480177
"72";"Locustella luscinioides";0,716514722;17,49;273;30,1;3;13,89;3;"Wetland";"Invertivore";"Generalist";47,96;4698320,69;4,5;NA;9,8;"LC";NA;NA;NA;NA;0,8401;0,6077;23,3333;10,8696;4008,1094;0,5626;0,2187;2454,7852;0,5153;18,0452;12,7963;9,409;10,3333;0,045;0,0943;1,6115;2,32204861531783;-0,416249929135978;-1,48690294981021;-0,602245682397424
"73";"Locustella naevia";1,726491186;46,005;494;25,4;2,9;13,3;3;"Shrubland";"Invertivore";"Generalist";52,97;7984518,2;5,5;NA;5,36;"LC";-0,119965005184866;-0,118087869847669;-0,186410038940925;-0,182283430593914;0,9076;0,5023;11;0;5971,1641;0;0,2528;1248,9258;0,4927;19,7127;0;9,6;4,43839179104478;0,0493;0,1016;0;2,24637816869381;1,26493507990234;-1,66571300211581;-1,99564731012506
"74";"Lophophanes cristatus";1,23198109;56,583;516;19,8;3,1;11,04;1;"Woodland";"Invertivore";"Insessorial";54,5;5918314,94;6,5;5;11,58;"LC";-0,327545080675628;-0,247850764549327;-0,62372238968965;-0,511519493063548;0,8082;0,5568;20,1667;7,6923;4496,0397;20,787;0,2786;2368,6523;0,5235;17,2695;9,4005;10,3333;1,8333;0,041;0,0874;9,4933;1,66532911219384;-0,927040261440707;-0,635409982809262;-1,2805501319454
"75";"Loxia curvirostra";0,964233495;15,776;2358;37,6;11,4;38,29;2;"Forest";"Granivore";"Insessorial";52,38;22671334,66;4;NA;16,1;"LC";-0,551855950400286;-0,690992231722683;-1,08936854731051;-0,915161439102264;0,6838;0,5492;33,6;6,3197;4276,7277;3,2426;0,3403;1942,2949;0,0816;2,3773;0;2,6;0,2;0,0542;0,173;0,0081;-1,70089429793798;-1,47612276817989;-0,269738959562244;0,992142689146699
"76";"Lullula arborea";1,763946827;48,624;491;27,7;3,8;26,9;2;"Woodland";"Omnivore";"Terrestrial";47,75;7140559,13;4;3,5;6;"LC";-0,093951244953185;-0,360109518863302;-0,151464819417861;-0,163084700579059;0,7868;0,5192;8,6;25;3672,4047;12,4965;0,3085;1180,0195;0,4733;14,4608;48,5373;7,0667;3,8;0,0547;0,1387;9,6786;-1,20004001470505;1,06282453970688;1,44045878096199;-2,02292213294127
"77";"Luscinia megarhynchos";2,065244378;60,365;1230;27,6;3,7;19,6;3;"Woodland";"Invertivore";"Generalist";43;6778462,19;4,5;NA;10,92;"LC";0,0519660569336118;-0,037555639136066;0,0846430186414054;0,0620243243606207;0,7514;0,5245;21,6;2,2222;2971,7156;8,4654;0,2938;1567,6172;0,4972;17,2763;55,6853;6,5667;3,4;0,0549;0,1421;7,8925;-0,633032096785684;0,393395414051904;0,681915924472659;-0,049699215107605
"78";"Luscinia svecica";1,003199206;4,695;631;21,3;3,2;17,23;3;"Grassland";"Invertivore";"Generalist";58,14;19896158,85;5,5;NA;11,4;"LC";0,248507063853141;-0,0638891874817966;0,400448452758178;0,28178480284309;0,796;0,553;25;15,8416;4021,3926;4,9403;0,288;1690,3564;0,5121;22,1732;15,7731;7,0491;7,75;0,0533;0,1576;2,3896;0,627969637585728;0,64142917253015;-0,731363561578808;-0,193346654322558
"79";"Melanocorypha calandra";NA;NA;146;37,2;8,2;61,6;2;"Grassland";"Omnivore";"Terrestrial";41,54;5323937,62;4,5;3;NA;"LC";NA;NA;NA;NA;0,8596;0,6431;11;0;3667,5781;0;0,3102;2024,1211;0,4903;21,8141;0;7,5882;34;0,0501;0,1176;0;3,45903691883652;2,11170672443972;-2,59496135864503;-1,10476390611106
"80";"Merops apiaster";1,246584778;10,01;331;45,5;8,2;56,6;3;"Woodland";"Invertivore";"Insessorial";40,17;11028502,02;6,5;NA;5,92;"LC";-0,107257008641454;-0,107763274174858;-0,112295425996602;-0,113013363078542;0,7582;0,4356;26,375;8,9202;1943,3135;3,384;0,2535;576,0132;0,5323;14,6991;22,692;5,3229;3,375;0,0558;0,1653;6,0783;-1,40602306397211;1,4705511283951;1,44371122476164;-0,131444546883232
"81";"Monticola saxatilis";1,084060813;9,017;61;36,2;5,3;50,3;3;"Rock";"Invertivore";"Insessorial";42,87;8709224,99;4,5;NA;NA;"LC";NA;NA;NA;NA;0,8127;0,5873;25,6;7,6923;3192,4742;7,8915;0,2725;1903,5352;0,4821;17,8496;3,8625;7,0197;6,2;0,0527;0,1245;2,0672;0,941064919401836;-0,00157993826005767;-0,672660635075055;0,0393197342902449
"82";"Monticola solitarius";0,345096843;5,081;162;29,5;6;53,65;2;"Rock";"Omnivore";"Insessorial";33,99;9788977,12;NA;NA;NA;"LC";NA;NA;NA;NA;0,8331;0,5303;29,3333;4,3478;2900,2383;7,0818;0,248;1155,6152;0,4715;18,1758;7,4258;7,1;4,3333;0,0513;0,1257;4,9675;0,294905138780217;0,284906248970232;0,0251449182256089;0,22414660356059
"83";"Motacilla alba";1,880499815;63,218;827;31,4;3,5;23,93;3;"Human Modified";"Invertivore";"Terrestrial";52,86;39488711,64;5;3,5;13,7;"LC";0,0407885744441919;-0,0457119936404974;0,070271136916725;0,0524469465064972;0,811;0,6071;17,875;13,6691;4464,9482;1,915;0,2532;1873,3887;0,0657;2,4201;0;2,5;2;0,0596;0,0926;19,929;-2,29737314536783;-1,70501763614807;1,23302074970713;0,0507531340565182
"84";"Motacilla cinerea";1,006012688;53,907;450;34,6;3;17,15;2;"Riverine";"Invertivore";"Terrestrial";52,19;19613139,17;5;NA;8;"LC";-0,0182317122172258;0,0412449106839512;-0,0425146787135906;-0,0165775296404874;0,7849;0,5946;12,6;15,3846;6147,2164;1,9362;0,2796;1998,2812;0,5498;12,5998;15,929;6,15;1,6;0,052;0,1228;4,1057;0,912784998870559;-0,0375703701912445;-1,19810854462036;-1,56434179615914
"85";"Motacilla flava";0,893757747;41,425;980;31,1;3,5;17,68;3;"Grassland";"Invertivore";"Terrestrial";53,37;19198163,05;5;3,5;8,83;"LC";0,256834808853894;-0,0020964878849938;0,402664258528146;0,311347942950072;0,7696;0,613;21,5556;16,2791;4897,1558;2,067;0,2631;1985,8398;0,354;23,5267;100;3,7222;0,7778;0,0559;0,1335;1,9428;-1,24319037748355;-0,994442098509468;0,371112965102021;1,0122070546177
"86";"Muscicapa striata";1,98550412;61,492;432;30,2;3,6;15,9;3;"Forest";"Invertivore";"Insessorial";50,39;16752202,89;5;3,5;11,8;"LC";-0,0828507895164032;-0,0740333080363404;-0,0567068219939935;-0,0876941150091061;0,7114;0,6927;33;8,1481;7020,7578;4,4673;0,1992;3732,4219;0,5235;22,1088;13,5378;5,4048;8,6667;0,0513;0,1654;0,711;1,99213639982481;-2,64313799398066;-2,89129083401987;2,18167978228542
"87";"Nucifraga caryocatactes";1,164183044;5,053;212;24,4;14,9;182,51;2;"Forest";"Granivore";"Insessorial";57,8;15486182,22;3,5;3;16,25;"LC";-0,535085983032351;-0,705274921388359;-1,29821290192038;-0,829197396967044;0,8905;0,5751;18;1,3889;2111,9375;0,2071;0,3164;1238,1592;0,5512;34,0984;5,1659;4,5;2,25;0,1065;0,219;24,6465;-2,57484721210884;2,74286948035179;1,4457365838834;2,0020622649617
"88";"Oenanthe hispanica";1,5812317;5,096;90;26,4;3,6;15,04;3;"Shrubland";"Invertivore";"Insessorial";37,85;3529344,19;4,5;NA;4,9;"LC";NA;NA;NA;NA;0,8332;0,596;29,1111;6,6667;3636,9857;15,3015;0,252;1526,4648;0,4422;21,4953;18,6367;6,9074;1,1111;0,0526;0,1138;4,4739;0,297692148477834;-0,780445580969227;-0,0955941739621836;0,752991897553753
"89";"Oenanthe oenanthe";1,230768005;21,457;213;32,1;3,7;25,39;3;"Grassland";"Invertivore";"Insessorial";56,46;29248291,46;5,5;NA;9,6;"LC";0,153588827058353;-0,175229211097692;0,267609530528888;0,190856377248825;0,7871;0,5432;32,4444;4,6154;4088,1311;3,175;0,2672;1583,8867;0,4807;16,6524;18,7287;7,7222;1,4444;0,0561;0,1314;4,1065;0,36782757503874;-0,341178170448215;-0,651690347495419;0,397780300221481
"90";"Oriolus oriolus";2,063800657;55,767;663;38,5;8,5;79;3;"Woodland";"Omnivore";"Insessorial";50,16;11164384,03;3,5;4;14,8;"LC";-0,0176361681767636;-0,110277506225358;0,005782894707938;-0,0191893998434102;0,7345;0,3899;29,4286;5,1724;2085,8638;5,8256;0,2554;682,9102;0,509;16,7078;32,1163;6,7143;1;0,0511;0,138;3,4524;-0,998180971130474;1,03522716744919;1,29558074454149;-0,188174603620409
"91";"Parus major";2,28157875;63,478;4856;18,7;4,3;16,25;1;"Woodland";"Invertivore";"Insessorial";44,04;32577984,28;10;4;15,42;"LC";0,000799699778819878;0,00823638881962884;0,00165952107089486;0,000904027510846784;0,8458;0,471;22,4;9,0909;4165,7484;0,9278;0,2973;1309,2188;0,5087;25,8361;24,0881;5,8333;3,4;0,0569;0,1548;9,4297;-0,22251454286323;1,38202350645434;-0,0462966704197875;-0,195769143038949
"92";"Passer domesticus";1,382057681;63,478;1401;27,3;7,4;26,51;1;"Human Modified";"Granivore";"Terrestrial";46,32;34407867,59;4,5;NA;19,9;"LC";0,128870133996095;0,100160931194655;0,199988339541229;0,178893290055601;0,9148;0,5794;37,6;5,2632;3715,4578;10,6356;0,1645;1860,4688;0;0;0;1,4;0;0,0633;0,0936;19,7557;-3,16332989850976;-3,50225653115959;2,01007001705748;2,84673006033896
"93";"Passer montanus";1,656888422;60,371;1705;24,6;6,5;21,39;1;"Woodland";"Granivore";"Terrestrial";46,61;39069801,39;5;NA;13,08;"LC";0,161501984619221;0,103855878796484;0,238833446598792;0,254557766521882;0,637;0,6332;36,3333;0,6897;3122,4258;1,6364;0,3263;2368,6523;0,1586;9,7897;100;3,5556;3;0,0626;0,1819;10,7254;-2,95345891618416;-2,08909850688856;0,990245342859888;2,60082746532459
"94";"Periparus ater";1,261420882;48,099;1452;21,9;3,6;9,2;1;"Forest";"Invertivore";"Insessorial";52,81;18987457,58;8,5;4,5;9,42;"LC";-0,370714630583861;-0,385158746439855;-0,719109385252355;-0,5730607114351;0,823;0,5661;20,9;10,8571;5191,3422;4,2154;0,2569;1929,375;0,5019;15,6813;55,6653;6,8357;3,1;0,057;0,1369;6,1822;-0,0641810833845555;-0,38624776495314;-0,244275199827955;-0,128319099709116
"95";"Petronia petronia";0,994974437;14,649;134;33,4;9,1;30,2;1;"Rock";"Granivore";"Terrestrial";42,34;7800913,29;5,5;NA;7;"LC";-0,115857386171467;-0,456694277424516;-0,303779855212084;-0,284198621255685;0,8105;0,5664;32,1429;3,125;3518,6456;16,8455;0,2298;1790,332;0;0;0;2;0;0,0639;0,1603;6,2488;-3,03289703804787;-2,52116968996337;1,59292571896688;2,38310107777348
"96";"Phoenicurus ochruros";1,66858821;63,03;553;23,1;2,9;16,5;2;"Rock";"Invertivore";"Insessorial";42,46;13764225,49;5;NA;10,17;"LC";0,0670486755384601;0,0365909745593029;0,0812767159816401;0,0710674366065403;0,7654;0,5728;24,3333;5,1546;4524,9062;4,9337;0,3033;1291,9922;0,514;19,4567;7,754;6,6944;4,6667;0,051;0,125;5,0007;0,919261496683995;0,418190634856581;-1,07086039857133;-0,482326512467089
"97";"Phoenicurus phoenicurus";1,922651583;54,142;790;25,8;3,4;14,59;3;"Woodland";"Invertivore";"Insessorial";53,91;14485113,51;6;NA;10,25;"LC";-0,0786687111126213;-0,0937663339396547;-0,166231827539346;-0,122411975828294;0,7904;0,5297;27,6;7,1429;4054,5891;0,1357;0,2906;1765,7227;0,4956;21,1881;6,6753;7,0667;2,2;0,0525;0,144;1,3877;0,86307883074756;0,46233761408096;-1,08232873438488;-0,097144672642153
"98";"Phylloscopus bonelli";1,695114602;49,23;366;23,1;2,3;8,69;3;"Forest";"Invertivore";"Insessorial";42,2;1297862,66;5,5;4;7;"LC";-0,248954111793304;-0,230727358840318;-0,470587078004323;-0,370412846050588;0,8856;0,6762;23,1667;6,8063;4194,2305;1,2747;0,16;2605,5176;0,3907;4,4872;12,0828;12,8333;1;0,0317;0,0614;1,7324;2,68616243757192;-2,21497999939317;-1,35971728929125;-1,40627572111319
"99";"Phylloscopus collybita";2,160233994;62,616;3348;18,4;2,2;8,3;3;"Forest";"Invertivore";"Insessorial";53,49;7564956,38;5,5;3,5;7,8;"LC";-0,0142574099281284;-0,0238046067799652;-0,0115110317247397;-0,0171418456488831;0,7558;0,6082;22,8;8,6957;4080,6289;2,3404;0,3112;1731,2695;0,4927;25,2792;43,6866;5,0833;3,6;0,054;0,1911;9,8602;-0,446400570854348;0,543147980817811;-0,279153673467471;0,521638951615991
"100";"Phylloscopus sibilatrix";1,015193483;45,449;614;30,9;2,8;9,2;3;"Forest";"Invertivore";"Insessorial";54,15;6359810,96;6;3,5;10,25;"LC";-0,412828323024413;-0,360995072758277;-0,644795011750375;-0,574051683222179;0,8484;0,6111;22,75;13,8122;4404,2236;20,4204;0,2888;2271,7529;0,514;15,688;35,0896;9,7292;4;0,0457;0,111;3,8857;1,28364055064483;-1,00712816481183;-0,633813925337415;-0,747871370387134
"101";"Phylloscopus trochilus";1,879700195;42,816;2660;25,9;2,6;8,7;3;"Forest";"Invertivore";"Insessorial";60,53;15839222,41;6;3,5;11,75;"LC";-0,0638587001808559;-0,0643579303555226;-0,0677442738366538;-0,0669357754521902;0,8095;0,6097;21,3333;5,8824;3086,6927;0,4619;0,2963;1937,9883;0,4896;9,0538;14,7397;8,7778;3;0,0513;0,1272;0,7134;1,11097355246937;0,226943535059231;-0,864145368146913;-1,11239192333381
"102";"Pica pica";1,88383315;62,523;576;22,9;13,7;217,48;1;"Human Modified";"Omnivore";"Terrestrial";48,8;31831405,08;6;2,5;21,67;"LC";0,137955136852552;0,108856734096505;0,199552148696717;0,174806521239024;0,8642;0,5351;29,6;11,4754;2614,7711;11,4969;0,1913;1412,5781;0,3257;12,6466;100;6;0,6;0,0546;0,0981;7,4904;-2,14292687622222;-1,58846996644296;2,32420410317824;1,2432616969297
"103";"Picus canus";1,133304368;62,523;363;25,8;7,1;137;1;"Forest";"Invertivore";"Insessorial";51,73;11476968,7;8;3;7,67;"LC";-0,595902213753563;-0,457111229733774;-0,951209720202237;-0,820717519101217;0,7949;0,4354;27,1667;8,7719;1639,6348;22,4033;0,2261;1220,2148;0,5374;15,1108;73,4143;9,0139;2,5;0,0529;0,1525;28,4191;-2,63210401291999;-0,191221627780882;3,46172913677366;0,238858188856456
"104";"Picus viridis";2,23902352;63,478;461;24,7;9,8;176;1;"Forest";"Invertivore";"Terrestrial";50,06;5981746,04;6;3,5;15,17;"LC";-0,0156771003432998;-0,0313010388258858;-0,0119095165500484;-0,0271915631175486;0,8376;0,3404;23,25;4,8128;2092,6709;0,3945;0,2701;301,4648;0,5042;1,8995;27,0811;6,6875;2,75;0,0566;0,1602;2,2579;-1,49497741019911;2,02468016206535;1,62322871776323;-1,36172481713797
"105";"Poecile montanus";1,437893394;50,691;755;17,7;4;11,1;1;"Forest";"Invertivore";"Insessorial";56,04;21263364,59;7,5;4;11,33;"LC";-0,421020794135642;-0,452506941647508;-0,642746790692312;-0,561258565465593;0,768;0,5724;25,7143;9,2683;4776,7285;15,9025;0,2908;2187,1582;0,508;17,4708;60,0098;6,1786;1,1429;0,0553;0,1446;9,5376;-0,550329490386257;-1,09724430920539;0,155216939665196;0,577748918131012
"106";"Poecile palustris";1,679893302;59,472;793;17,9;4,1;11,14;1;"Forest";"Invertivore";"Insessorial";49,29;9072135,09;8,5;4;11,92;"LC";-0,205609271297082;-0,225776982129875;-0,355505684027012;-0,307193722415298;0,7465;0,5845;26,5862;13,2075;4390,3553;8,816;0,3126;1883,0415;0,4895;14,6717;50,6506;6,8707;1,4828;0,0535;0,1448;6,8529;-0,330097511875455;-0,614439303028146;-0,160123089724119;-0,093396297274404
"107";"Prunella collaris";0,957885282;4,915;71;28;4,2;38,61;2;"Grassland";"Invertivore";"Terrestrial";43,61;10326440,53;3,5;2;7,67;"LC";NA;NA;NA;NA;0,8391;0,6133;11,6667;8,6957;3581,112;1,9444;0,3241;1650,8789;0,4993;22,7603;3,4943;6,7976;5,3333;0,0505;0,1231;0,3581;1,54846626935833;1,46855731264143;-1,17399461336194;-1,43947776700011
